TID,EN,FR,DE,ES,IT,NL,NO,PT,TR
TID_MORTAR_INFO,The Mortar can mow down hordes of enemies by the splash damage from its shell. Don't let enemies get too close to it!,Le mortier peut raser des hordes d'ennemis grâce à sa puissante explosion. Ne laissez pas les ennemis s'en approcher !,Der Minenwerfer kann mit der Flächenwirkung seiner Geschosse ganze Feindeshorden niedermähen. Lass Feinde nicht zu nah an ihn heran!,El mortero puede acabar con hordas de enemigos solo con la salpicadura de su casco. ¡No dejes que los enemigos se acerquen!,Il mortaio può abbattere orde di nemici grazie all´effetto che i suoi proiettili hanno sull´area circostante. Non lasciare che i nemici si avvicinino.,De mortier kan honderden vijanden neermaaien met zijn vernietigende schot. Zorg dat vijanden niet te dicht in de buurt komen!,Morteren kan meie ned horder av fiender med spredningsskade fra granaten. Ikke la fiendene komme i nærheten av den!,O Morteiro pode acabar com hordas de inimigos pelo dano de respingo de sua casca. Não deixe que os inimigos fiquem muito perto!,Havan mermisinin parça tesiri düşman kuvvetlerini ot gibi biçer. Düşmanların buna çok yaklaşmasına izin verme!
TID_ALLIANCE_CASTLE_INFO,The Clan Castle flies the colors of your Clan. It also houses any reinforcement troops sent by your clanmates.,Le château du clan porte les couleurs de votre clan. Il abrite également toutes les troupes de renfort des membres de votre clan.,"Die Clanburg hat die Farben deines Clans. Außerdem beherbergt sie die Verstärkungstruppen, die von deinen Clankameraden geschickt wurden.",El castillo del clan luce los colores de tu clan. También acoge los refuerzos que te hayan enviado tus compañeros de clan.,Il castello porta l'insegna del tuo Clan. Contiene inoltre le truppe di rinforzo inviate dai tuoi amici di clan.,Op het clankasteel wappert de vlag van jouw clan. Ook kun je er troepen onderbrengen die door je medeclanners zijn gestuurd.,Klanslottet fører fargene til klanen din. Det rommer også forsterkninger sendt av klansvennene dine.,O Castelo do Clã exibe as cores do seu clã. Também abriga as tropas de reforço enviadas por seus colegas de clã.,Klan Kalesine Klanının renkleri görünür. Klan arkadaşlarının gönderdiği takviye askerleri de barındırır.
TID_WORKER_INFO,"Nothing gets done around here without Builders! You can hire more builders to start multiple construction projects, or speed up their work by using green gems.","Vous n'arriverez à rien sans les ouvriers ! Vous pouvez recruter davantage d´ouvriers pour commencer plusieurs projets de construction, ou accélérer leur travail à l´aide de gemmes vertes.","Ohne Bauarbeiter geht hier gar nichts! Du kannst mehr Bauarbeiter einstellen, um mehrere Bauprojekte zu beginnen oder die Arbeit schneller voranzutreiben, indem du grüne Juwelen nutzt.","¡Nada se puede hacer sin constructores! Puedes contratar más constructores para empezar múltiples proyectos , o acelerar su trabajo usando gemas verdes.",Qui non si va avanti senza muratori! Puoi assumere più muratori per iniziare più costruzioni contemporaneamente o velocizzare il lavoro usando gemme verdi.,"Zonder bouwers komt hier niets van de grond! Je kunt meer bouwers aannemen om meerdere gebouwen tegelijk neer te zetten, of de bouw versnellen met groene edelstenen.",Det blir ikke gjort noe her uten byggere! Du kan leie flere byggere for å starte flere konstruksjonsprosjekter eller øke hastigheten på arbeidet med å bruke grønne smykker.,"Nada é feito por aqui sem construtores! Você pode contratar mais construtores para iniciar projetos de construção múltiplos, ou acelerar o seu trabalho usando pedras verdes.",İnşaatçılar olmadan burada hiçbir iş tamamlanmıyor! Çoklu inşaat projelerine başlamak için daha fazla inşaatçı işe alabilirsin ya da yeşil taşları kullanarak çalışmalarını hızlandırabilirsin.
TID_LABORATORY_INFO,"What dark secrets do the Alchemists hide inside their Laboratory? Nobody has dared to look. All we know is that their research makes our spells and troops harder, better, faster and stronger!",,,,,,,,
TID_STREAM_SENDER_YOU,You,Vous,Du,Tú,Tu,Jij,Du,Você,Sen
TID_SHIELD_ACTIVATED,Opponent's shield activated for <hours> hours,Bouclier ennemi activé pendant <hours> heures,Schild des Gegners für <hours> Stunden aktiviert,El escudo de tu oponente ha sido activado durante <hours> horas,Scudo dell'avversario attivato per <hours> ore,Vijandelijk schild geactiveerd voor <hours> uur,Motstanderens skjold aktivert i <hours> timer,O escudo do oponente é ativado por <hours> horas,Rakibin kalkanı <hours> saatliğine aktifleştirildi
TID_STREAM_ENTRY_AGE,<time> ago,Il y a <time>,vor <time>,Hace <time>,<time> fa,<time> geleden,<time> siden,<time> atrás,<time> önce
TID_UPGRADE_WINDOW_NOTE,Note!,Attention !,Achtung!,¡Atención!,Attenzione!,let op!,Obs!,Observe!,Not!
TID_OBSTACLE_CLEAR_TIME,Removal time,Temps nécessaire à la suppression :,Entfernungszeit,Tiempo eliminación,Tempo rimozione,Verwijdertijd,Fjerningstid,Tempo de remoção,Kaldırma süresi
TID_UPGRADE_TIME,Upgrade time,Temps:,Verbesserungszeit,Tiempo mejora,Tempo miglioramento,Upgradetijd,Oppgraderingstid,Atualizar tempo,Yükseltme süresi
TID_BUILD_TIME,Build time,Temps:,Bauzeit,Tiempo construcción,Tempo costruzione,Bouwtijd,Byggetid,Tempo de construção,İnşa süresi
TID_UNLOCK_BUILDINGS,Unlocks Buildings:,Débloque les bâtiments :,Schaltet Gebäude frei:,Desbloquea edificios:,Sblocca gli edifici:,Ontgrendelt gebouwen:,Åpner bygninger:,Desbloqueia Edifícios:,Binaların Kilidini Açar:
TID_REQUIRED_EXP_LEVEL,Experience Level <number> Required,Expérience de niveau <number> nécessaire,Erfahrungslevel <number> benötigt,Necesario nivel de experiencia <number>,Necessaria esperienza di livello <number>,XP-level <number> vereist,Erfaring på nivå <number> kreves,Nível de experiência <number> necessário,Tecrübe Seviyesi <number> Gerekiyor
TID_REQUIRED_TOWN_HALL_LEVEL,Level <number> Town Hall Required,Hôtel de ville de niveau <number> nécessaire,Rathaus auf Level <number> benötigt,Necesario nivel <number> de ayuntamiento,Necessario municipio di livello <number>,Stadhuis van level <number> vereist,Rådhus på nivå <number> kreves,Nível <number> Centro da Cidade Obrigatório,<number>. Seviye Köy Binası Gerekiyor
TID_REQUIRED_CASTLE_LEVEL,Level <number> Castle Required,Château de niveau <number> nécessaire,Burg auf Level <number> benötigt,Necesario nivel <number> de castillo,Necessario castello di livello <number>,Kasteel van level <number> vereist,Slott på nivå <number> kreves,Castelo de Nível <number> Obrigatório,<number>. Seviye Kale Gerekiyor
TID_REQUIRED_BARRACK_LEVEL,Level <number> Barracks Required,Caserne de niveau <number> nécessaires,Kaserne auf Level <number> benötigt,Necesario nivel <number> de cuartel,Necessaria caserma di livello <number>,Kazerne van level <number> vereist,Brakker på nivå <number> kreves,Quartel de Nível <number> Obrigatório,<number>. Seviye Kışla Gerekiyor
TID_REQUIRED_LABORATORY_LEVEL,Level <number> Laboratory Required,Laboratoire de niveau <number> nécessaire,Labor auf Level <number> benötigt,Necesario nivel <number> de laboratorio,Necessario laboratorio di livello <number>,Laboratorium van level <number> vereist,Laboratorium på nivå <number> kreves,Laboratório nível <number> Obrigatório,<number>. Seviye Laboratuvar Gerekiyor
TID_INFO_PREFERRED_TARGET,Favorite target:,Cible préférée :,Bevorzugtes Ziel:,Objetivo favorito:,Bersaglio preferito:,Favoriete doelwit:,Favorittmål:,Alvo favorito:,Favori hedef:
TID_PREFERRED_TARGET_ANY,Any,Toutes,Egal,Cualquiera,Qualsiasi,Willekeurig,Alle,Qualquer,Biri
TID_PREFERRED_TARGET_DAMAGE_BONUS,(Damage x<number>),(Dégâts x<number>),(Schaden x<number>),(Daño x <number>),(Danno x<number>),(schade x<number>),(Skade x<number>),(Danos <number> x),(Hasar x<number>)
TID_INFO_TARGET_TYPE,Targets:,Cible :,Ziele:,Objetivos:,Obiettivi:,Doelwitten:,Mål:,Alvos:,Hedefler:
TID_INFO_DAMAGE_TYPE,Damage type:,Type de dégâts :,Schadensart:,Tipo de daño:,Tipo di danno:,Schadetype:,Skadetype:,Tipo de dano:,Hasar türü:
TID_INFO_HEAL_TYPE,Heal type:,Type de soin :,Heilungsart:,Tipo curación:,Tipo di guarigione:,Helingtype:,Helbredstype:,Tipo de cura:,İyileşme türü:
TID_INFO_HOUSING,Housing Space:,Capacité de logement :,Wohnraum:,Espacio viviendas:,Spazio:,Huisvest:,Husrom:,Espaço de Habitação:,Barınma Alanı:
TID_INFO_TRAINING_TIME,Training Time:,Temps de formation :,Trainingszeit:,Tiempo entrenamiento,Tempo di addestramento:,Trainingstijd:,Treningstid:,Tempo de treino:,Eğitim Süresi:
TID_INFO_RANGE,Range:,Portée :,Reichweite:,Alcance:,Distanza:,Bereik:,Rekkevidde:,Faixa:,Menzil:
TID_INFO_TARGET_TYPE_GROUND,Ground,Terrestre,Boden,Tierra,Terra,Land,Bakke,Solo,Yer
TID_INFO_TARGET_TYPE_GROUND_AND_AIR,Ground & Air,Terrestre & aérienne,Boden & Luft,Tierra y aire,Terra e aria,Grond en lucht,Bakke & luft,Solo e Ar,Yer ve Hava
TID_INFO_TARGET_TYPE_AIR,Air,Aérienne,Luft,Aire,Aria,Lucht,Luft,Ar,Hava
TID_INFO_DAMAGE_TYPE_AOE,Area Splash,Zone étendue,Flächenwirkung,Salpicadura,Raggio d´azione,Gebiedaanval,Områdespredning,Área de Respingo,Alan Tesiri
TID_INFO_DAMAGE_TYPE_SINGLE,Single Target,Cible unique,Einzelziel,Objetivo único,Obiettivo singolo,Enkel doelwit,Enkeltmål,Alvo simples,Tek Hedef
TID_INFO_RANGE_VALUE,<number> Tiles,<number> cases,<number> Kacheln,<number> cuadros,<number> riquadri,<number> tegels,<number> fliser,<number> Azulejos,<number> Kare
TID_LOCAL_NOTIFICATION_UPGRADE_READY,<item> upgraded to level <level>,L'amélioration de <item> au niveau <level> est terminée,<item> auf Level <level> verbessert,<item> mejorado al nivel <level>.,<item>: miglioramento al livello <level> eseguito,<item> geüpgraded naar level <level>,<item> oppgradert til nivå <level>,<item> atualizado para nivelar <level>,<item> <level>. seviyeye yükseltildi
TID_LOCAL_NOTIFICATION_BUILDING_READY,<item> construction finished,La construction de <item> est terminée,Bau von <item> abgeschlossen,Construcción de <item> finalizada.,<item>: costruzione completata,Bouw van <item> voltooid,<item>-konstruksjonen fullført,construção <item> terminou,<item> inşaatı bitti
TID_LOCAL_NOTIFICATION_SHIELDS_WILL_DISAPPEAR,"Chief, our shield is about to run out!",Chef ! Notre bouclier va disparaître !,"Boss, unser Schild hält nicht mehr lange!","¡Jefe, nuestro escudo está a punto de agotarse!","Capo, il nostro scudo sta per esaurirsi!","Chief, ons schild houdt het niet lang meer!","Høvding, skjoldet vårt går snart ut!","Chefe, nosso escudo está prestes a acabar!","Şef, kalkanımız tükenmek üzere!"
TID_NEW,New,Nouveau,Neu,Nuevo,Nuovo,Nieuw,Nytt,Novo,Yeni
TID_POPUP_CANCEL_CONSTRUCTION_TITLE,Stop construction?,,,,,,,,
TID_POPUP_CANCEL_CONSTRUCTION,Do you really want to stop constructing <item>? Only <number>% of the cost will be refunded.,,,,,,,,
TID_POPUP_CANCEL_UPGRADE_TITLE,Stop upgrade?,,,,,,,,
TID_POPUP_CANCEL_UPGRADE,Do you really want to stop upgrading <item>? Only <number>% of the cost will be refunded.,,,,,,,,
TID_POPUP_CANCEL_CLEAR_TITLE,Stop removal?,,,,,,,,
TID_POPUP_CANCEL_CLEAR,Do you really want to stop removing <item>?,,,,,,,,
TID_ALLIANCE_LEADERBOARDS,Top Clans,Meilleurs clans,Beste Clans,Mejores clanes,Migliori clan,Beste clans,Toppklaner,Melhores Clãs,En İyi Klanlar
TID_PLAYER_LEADERBOARDS,Top Players,Meilleurs joueurs,Beste Spieler,Mejores jugadores,Migliori giocatori,Beste spelers,Toppspillere,Melhores Jogadores,En İyi Oyuncular
TID_AVAILABLE_LOOT,Available Loot:,Butin disponible :,Verfügbare Beute:,Botín disponible:,Bottino disponibile:,Beschikbare buit:,Tilgjengelig bytte:,Roubo disponível:,Mevcut Ganimet:
TID_INFO,i,i,i,i,i,i,i,Eu,ben
TID_ATTACK_BUTTON,Attack,Attaquer,Angreifen,Atacar,Attacca,Aanvallen,Angrip,Atacar,Saldır
TID_ALLIANCE_SNEAK_PREVIEW,Unlock Clans by rebuilding the Clan Castle!,Débloquez des clans en reconstruisant le château du clan !,"Schalte Clans frei, indem du die Clanburg wieder aufbaust!",¡Desbloquea clanes reconstruyendo el castillo!,Sblocca i clan ricostruendo il castello!,Ontgrendel clans door het clankasteel weer op te bouwen!,Åpne klaner ved å bygge klanslottet på nytt!,Desbloquear Clãs pela reconstrução do Castelo do Clã!,Klan Kalesini tekrar kurarak Klanların kilidini aç!
TID_BUILD_TIME_INSTANT,None,Aucun,Nichts,Nada,Zero,Geen,Ingen,Nenhum,Yok
TID_BUILDING_CAP_REACHED,Can't build more yet!,Vous ne pouvez plus construire pour le moment !,Im Moment kann nicht mehr gebaut werden!,¡Aún no puedes crear más!,Non ne puoi costruire più per il momento!,Kan niet meer bouwen!,Kan ikke bygge mer ennå!,Ainda não é possível construir mais!,Henüz başka inşa edilemez!
TID_DIAMONDS_FOUND,You found <number> gems from the <name>!,Vous avez trouvé <number> gemmes dans : <name>!,Du hast <number> Juwelen hiervon gefunden: <name>!,Has encontrado <number> gemas en: <name>.,Hai trovato <number> gemme in: <name>!,Je hebt <number> edelstenen van de <name> gevonden!,Du fant <number> smykker fra <name>!,Encontrou <number> pedras do <name>!,Bundan <number> taş buldun: <name>!
TID_DIAMOND_FOUND,You found a gem from the <name>!,Vous avez trouvé une gemme dans : <name>!,Du hast ein Juwel hiervon gefunden: <name>!,Has encontrado una gema en: <name>.,Hi trovato una gemma in: <name>!,Je hebt een edelsteen gevonden van de <name>!,Du fant et smykke fra <name>!,Você encontrou uma pedra da <name>!,Bundan bir taş buldun: <name>!
TID_SHOP_CATEGORY_DECOS,Decorations,Décorations,Dekorationen,Adornos,Decorazioni,Decoraties,Dekorasjoner,Decorações,Dekorasyonlar
TID_SHOP_CATEGORY_RESOURCE_BUILDINGS,Resources,Ressources,Ressourcen,Recursos,Risorse,Bronnen,Ressurser,Recursos,Kaynaklar
TID_SHOP_CATEGORY_ARMY_BUILDINGS,Army,Armée,Armee,Ejército,Esercito,Legers,Armé,Exército,Ordu
TID_SHOP_CATEGORY_DEFENSE_BUILDINGS,Defenses,Défenses,Verteidigungen,Defensas,Difese,Verdedigingswerken,Forsvarsverker,Defesas,Savunma
TID_SHOP_CATEGORY_TREASURE,Treasure,Trésor,Schatz,Tesoro,Tesoro,Schatten,Skatt,Tesouro,Hazine
TID_SHOP_CATEGORY_SHIELD,Shield,Bouclier,Schild,Escudo,Scudo,Schild,Skjold,Escudo,Kalkan
TID_SHOP_CATEGORY_BUILDERS,Builders,Ouvriers,Bauarbeiter,Constructores,Muratori,Bouwers,Byggere,Construtores,İnşaatçılar
TID_TRAINING_WARRIORS,Warriors:,Soldats :,Krieger:,Guerreros:,Guerrieri>,Krijgers:,Krigere:,Guerreiros:,Savaşçılar:
TID_TRAINING_SLOTS,Training slots:,Emplacements de formation :,Trainingsplätze:,Huecos entrenamiento:,Spazi addestramento:,Trainingvakken:,Treningstider:,Vagas de treinamento:,Eğitim yerleri:
TID_TOTAL_TRAINING_TIME,Total time:,Temps total :,Gesamtzeit:,Tiempo total:,Tempo totale:,Totale tijd:,Total tid:,Tempo total:,Toplam süre:
TID_FINISH_BUTTON,Finish,Terminer,Beenden,Acabar,Fine,Einde,Fullfør,Terminar,Bitir
TID_TROOP_TRAINING_MAX,Max,Maximum,Max.,Máx.,Massimo,Max,Maks,Máximo,Maks
TID_UNCLOK_FROM_LABORATORY,Unlock from Laboratory,Se débloque depuis le laboratoire,Von Labor freischalten,Desbloquear en laboratorio,Sblocca nel laboratorio,Ontgrendel in laboratorium,Åpne fra laboratorium,Desbloquear do Laboratório,Kilidi Laboratuvardan aç
TID_NOT_ENOUGH_HOUSING_SPACE,You don't have enough room in Army Camps!,Vous n'avez pas assez de place dans les camps militaires !,Du hast nicht genug Platz in den Armeelagern!,¡No tienes suficiente espacio en los campamentos!,Non hai abbastanza soldati negli accampamenti!,Je hebt te weinig ruimte in de legerkampen!,Du har ikke nok rom i arméleirene!,Você não tem espaço suficiente nos acampamentos do exército!,Ordu Kampında yeterli yer yok!
TID_UNLOCK_BARRACK_TROOP,Unlocks Warrior:,Débloque un soldat :,Schaltet Krieger frei:,Desbloquea guerrero:,Sblocca il guerriero:,Ontgrendelt krijger:,Åpner kriger:,Desbloqueia Guerreiro:,Savaşçı Kilidini Açar:
TID_BUILDING_TEXT_FULL,Full!,Plein !,Voll!,¡Lleno!,Pieno!,Vol!,Full!,Total!,Dolu!
TID_BUILDING_TEXT_TRAIN,Train,Former,Trainieren,Entrenar,Addestra,Trainen,Tren,Treinar,Eğit
TID_TRAINING_SLOT_STOPPED,Stopped!,Arrêté !,Gestoppt!,¡Detenido!,Interrotto!,Gestopt!,Stoppet!,Parado!,Durduruldu!
TID_BUILDING_TEXT_ALERT,!!!,!!!,!!!,¡¡!!,!!!,!!!,!!!,!!!,!!!
TID_TRAIN_ALL_HOUSINGS_FULL,All Camps Full!,Tous les camps sont pleins !,Alle Lager voll!,¡Campamentos llenos!,Tutti gli accampamenti sono pieni.,Alle kampen vol!,Alle leire er fulle!,Acampamentos estão cheios!,Tüm Kamplar Dolu!
TID_TRAIN_ALL_HOUSINGS_FULL_INFO,"Upgrade or build Army Camps to house more troops, or send them to fight!","Construisez plus de camps militaires ou améliorez ceux que vous possédez déjà pour loger plus de troupes, ou envoyez-les au combat !","Verbessere Armeelager oder baue neue, um mehr Truppen zu beherbergen oder schicke sie in den Kampf!",¡Mejora o construye campamentos para acoger más tropas o enviarlas a luchar!,Migliora o costruisci degli accampamenti per alloggiare più truppe o mandale in guerra!,"Upgrade of bouw legerkampen om meer troepen onder te brengen, of zet ze in voor het gevecht!",Oppgrader eller bygg arméleire for å huse flere soldater eller send dem ut for å kjempe!,"Atualize ou construa acampamentos do exército para abrigar mais tropas, ou enviá-las para lutar!",Daha fazla asker barındırmak için Ordu Kamp inşa et ve yükselt veya askerleri savaşa gönder!
TID_BUTTON_FIGHT,Start!,Commencer !,Start!,¡Empezar!,Inizio!,Start!,Start!,Começar!,Başla!
TID_BATTLE_START_TIME,Battle starts in:,La bataille commence dans :,Kampf startet in:,La batalla empieza en:,La battaglia inizia tra:,Gevecht begint over:,Slaget starter om:,Batalha começa em:,Savaş başlayacak:
TID_NEXT_MATCH,Next,Prochaine,Weiter,Siguiente,Avanti,Volgende,Neste,Próximo,İleri
TID_END_BATTLE_BUTTON,End Battle,Terminer la bataille,Kampf beenden,Terminar batalla,Termina battaglia,Stoppen,Avslutt slaget,Batalha final,Savaşı Bitir
TID_SURRENDER_BUTTON,Surrender,Se rendre,Aufgeben,Rendirse,Resa,Overgave,Overgivelse,Render-se,Teslim Ol
TID_TROOP_UPGRADE_TIME,Total time:,Temps total :,Gesamtzeit:,Tiempo total:,Tempo totale:,Totale tijd:,Total tid:,Tempo total:,Toplam süre:
TID_MAX_TROOP_LEVEL,Max Level,Niveau maximum,Max. Level,Nivel máximo,Livello massimo,Maximumlevel,Maks. nivå,Nível Máximo,Maks Seviye
TID_LEVEL_NUM,Level <number>,Niveau <number>,Level <number>,Nivel <number>,Livello <number>,Level <number>,Nivå <number>,Nível <number>,Seviye <number>
TID_BUTTON_UPGRADE_TROOPS,Research,,,,,,,,
TID_POPUP_UPGRADE_TROOP_TITLE,Choose what to upgrade,Choisissez l´élément à améliorer,"Wähle, was du verbessern möchtest",Elige qué mejorar,Scegli che cosa potenziare,Kies wat je wilt upgraden,Velg hva som skal oppgraderes,Escolha o que atualizar,Yükseltilecek şeyi seçin
TID_TROOP_ALREADY_AT_MAX_LEVEL,Unit is already at maximum level!,Cette unité est déjà au niveau maximum !,Einheit ist bereits auf maximalem Level!,¡La unidad ya está en nivel máximo!,Il livello dell´unità è già al massimo!,Eenheid heeft het maximumlevel al!,Enheten er allerede på maksimumsnivå!,Unidade já está no nível máximo!,Birim zaten maksimum seviyede!
TID_TROOP_UPGRADE_ALREADY_ONGOING,Unit is already being upgraded!,Cette unité a déjà été améliorée !,Einheit wird bereits verbessert!,¡La unidad ya está siendo mejorada!,L´unità è in corso di miglioramento!,Eenheid wordt al geüpgraded!,Enheten blir allerede oppgradert!,Unidade já está sendo atualizada!,Birim zaten yükseltiliyor!
TID_TROOP_UPGRADE_COMPLETED,Upgrade completed: <item> Level <number>,Amélioration terminée : <item> niveau <number>,Verbesserung abgeschlossen: <item> Level <number>,"Mejora completada: <item>, nivel <number>",Miglioramento completato: Livello <item> <number>,Upgrade voltooid: <item> level <number>,Oppgradering fullført: <item> nivå <number>,Atualização completa: <item> Nível <number>,Yükseltme tamamlandı: <item> <number>. Seviye
TID_UNITS_LEFT,<number> left,<number> restants,Noch <number>,Quedan <number>,<number> rimaste,<number> over,<number> igjen,<number> esquerda,<number> kaldı
TID_PLAYER_ATTACKING_YOU,Players attacking you:,Joueurs qui vous attaquent :,Dich angreifende Spieler:,Jugadores atacándote:,Giocatori che ti attaccano:,Spelers die jou aanvallen:,Spillere angriper deg:,Jogadores atacando você:,Saldıran oyuncular:
TID_LOOT,You lost resources:,Vous avez perdu des ressources :,Du hast Ressourcen verloren:,Recursos perdidos:,Hai perso delle risorse:,Grondstoffen verloren:,Dine tapte ressurser:,Você perdeu recursos:,Kaynak kaybettin:
TID_OUTCOME,Outcome:,Résultat :,Resultat:,Resultado:,Risultato:,Resultaat:,Resultat:,Resultado:,Sonuç:
TID_YOU_LOST,Your Defence Lost,Votre armée a perdu,Deine Verteidigung hat verloren,Tu defensa ha perdido,La tua difesa ha perso,Je verdediging heeft verloren,Forsvaret tapte,Sua Defesa Perdeu,Savunman Kaybetti
TID_YOU_WIN,Your Defence Won,Votre armée a gagné,Deine Verteidigung hat gewonnen,Tu defensa ha ganado,La tua difesa ha vinto,Je verdediging heeft gewonnen,Forsvaret vant,Sua Defesa Venceu,Savunman Kazandı
TID_REVENGE,Revenge,Venge-toi!,Rache,Venganza,Vendetta,Wraak,Hevn,Vingança,İntikam
TID_JOINQUESTION,Want to join?,Voulez-vous participer ?,Möchtest du beitreten?,¿Quieres unirte?,Vuoi unirti?,Wil je deelnemen?,Slik deltar du,Quer participar?,Katılmak istiyor musun?
TID_TAP_TO_EXPAND,Tap to expand,Touchez pour étendre,Zum Erweitern antippen,Toca para ampliar.,Tocca per espandere,Tik om uit te breiden,Trykk for å utvide,Toque para expandir,Genişletmek için dokun
TID_BUY_MISSING_RESOURCES_HEADER,You need more <resource>,Vous avez besoin de plus de <resource>,Du brauchst mehr hiervon: <resource>,Necesitas más <resource>.,Ti serve più <resource>,Je hebt meer <resource> nodig,Du trenger mer <resource>,Você precisa de mais <resource>,Daha fazla <resource> gerekiyor
TID_BUY_MISSING_RESOURCES_TEXT,Buy the missing <count> <resource>?,Acheter les <count> <resource> manquants ?,Fehlende <count> <resource> kaufen?,Te falta <count> de <resource>. ¿Comprar?,Acquistare le <count> unità di <resource> mancanti?,De onbrekende <count> <resource> kopen?,Kjøpe manglende <count> <resource>?,Comprar <count> <resource> ausente?,"<count> <resource> eksik, satın alacak mısın?"
TID_BUY_RESOURCE_PACK_HEADER,Buy <resource>?,Acheter <resource> ?,<resource> kaufen?,¿Comprar <resource>?,Acquistare <resource>?,<resource> kopen?,Kjøpe <resource>?,Comprar <resource>?,<resource> satın alacak mısın?
TID_BUY_RESOURCE_PACK_TEXT,Are you sure you want to buy <count> <resource>?,Voulez-vous vraiment acheter <count> <resource> ?,Möchtest du wirklich <count> <resource> kaufen?,¿Seguro que quieres comprar <count> <resource>?,Vuoi davvero comprare <count> <resource>?,Weet je zeker dat je <count> <resource> wilt kopen?,Er du sikker på at du vil kjøpe <count> <resource>?,Tem certeza de que quer comprar <count> <resource>?,<count> <resource> satın almak istediğinden emin misin?
TID_BUY_SHIELD_HEADER,Buy shield?,Acheter un bouclier ?,Schild kaufen?,¿Comprar escudo?,Acquistare scudo?,Schild kopen?,Kjøpe skjold?,Comprar escudo?,Kalkan satın al?
TID_BUY_SHIELD_TEXT,Are you sure you want to buy <name>?,Voulez-vous vraiment acheter <name> ?,Möchtest du wirklich <name> kaufen?,¿Seguro que quieres comprar <name>?,Vuoi davvero comprare <name>?,Weet je zeker dat je <name> wilt kopen?,Er du sikker på at du vil kjøpe <name>?,Tem certeza de que quer comprar <name>?,<name> satın almak istediğinden emin misin?
TID_RESOURCE_PACK_LOCKED,Not enough storage space!,Pas assez d'espace de stockage !,Nicht genug Lagerplatz!,¡No hay suficiente espacio!,Non c'è abbastanza spazio!,Te weinig opslagruimte!,Ikke nok lagerplass!,Não há espaço de armazenamento suficiente!,Yeterli depo yeri yok!
TID_STAR1,Awesome!,Génial !,Großartig!,¡Asombroso!,Eccellente!,Gaaf!,Sinnsykt!,Magnífico!,Müthiş!
TID_STAR2,Excellent!,Excellent !,Fantastisch!,¡Excelente!,Ottimo!,Uitmuntend!,Utmerket!,Excelente!,Muhteşem!
TID_STAR3,Perfect!,Parfait !,Perfekt!,¡Perfecto!,Perfetto!,Perfect!,Perfekt!,Perfeito!,Mükemmel!
TID_OVERALL_DAMAGE,Overall Damage,Dégâts globaux,Gesamtschaden,Daño general,Danno complessivo,Algemene schade,Generell skade,Dano geral,Toplam Hasar
TID_SHIELD_TITLE,Shield:,Bouclier :,Schild:,Escudo:,Scudo:,Schild:,Skjold:,Escudo:,Kalkan:
TID_SHIELD_NONE,None,Aucun,Nichts,Ninguno,Zero,Geen,Ingen,Nenhum,Yok
TID_BATTLE_LOG,Battle Log,Résumé des batailles,Kampfhistorie,Combates,Resoconto delle battaglie,Logboek,Slaghistorikk,Registro de Batalha,Savaş Günlüğü
TID_BATTLE_INBOX,Inbox,Boîte aux lettres,Posteingang,Entrada,In arrivo,Postvak In,Innboks,Caixa de Entrada,Gelen Kutusu
TID_VICTORY,Victory,Victoire,Sieg,Victoria,Vittoria,Gewonnen,Seier,Vitória,Zafer
TID_DEFEAT,Defeat,Défaite,Niederlage,Derrota,Sconfitta,Verloren,Overvinn,Derrota,Yenilgi
TID_WHAT_YOU_GOT,You got:,Vous avez obtenu :,Du erhältst:,Has conseguido:,Hai:,U ontvangen:,Du fikk:,Você tem:,Sahip olduğun:
TID_TROOPS_USED,Troops expended:,Troupes déployées :,Aufgewandte Truppen:,Tropas gastadas:,Truppe utilizzate:,Troepen uitgebreid,Soldater tapt:,Tropas gastas:,Asker zayiatı:
TID_TOTAL_DAMAGE,Total damage:,Dégâts totaux :,Gesamtschaden:,Daño total:,Danno totale:,Totale schade:,Total skade:,Dano total:,Toplam hasar:
TID_SCORE,Score,Score,Punkte,Puntuación,Punteggio,Score,Poeng,Placar,Skor
TID_YOU_HAVE_BEEN_ATTACKED,"Chief, our village was attacked!",,,,,,,,
TID_YOU_HAVE_BEEN_ATTACKED_TITLE,Enemy raid,,,,,,,,
TID_YOU_HAVE_BEEN_ATTACKED_HEADER,"Chief, the village was attacked while you were gone!",Chef ! Le village a été attaqué en votre absence !,"Häuptling, das Dorf wurde während deiner Abwesenheit angegriffen!","¡Jefe, la aldea ha sido atacada mientras no estabas!","Capo, il villaggio è stato attaccato mentre non c´eri!","Het dorp is tijdens je afwezigheid aangevallen, chief!","Høvding, landsbyen ble angrepet mens du var borte!","Chefe, a vila foi atacada enquanto você estava fora!","Şef, sen yokken köy saldırıya uğradı!"
TID_TUTORIAL_CANNON_1,Welcome Chief! We sure have been waiting for you.,"Bienvenue, chef ! Nous vous avons longuement attendu.","Willkommen, Häuptling! Wir haben schon auf dich gewartet.","¡Bienvenido, jefe! Ansiábamos tu regreso.","Ti diamo il benvenuto, Capo! Ti stavamo aspettando con ansia.","Welkom, chief! We keken al uit naar je komst.","Vær hilset, høvding! Vi har virkelig ventet på deg.",Bem-vindo Chefe! Estávamos esperando por você.,Hoş geldin Şef! Seni dört gözle bekliyorduk.
